Sample_Name,grain,Spot number,FWHM,raman_shift
ME1,Z32,5,14.5,996.4
ME1,Z32,6,22.9,995.9
ME1,Z32,8,14.4,1000.9
ME1,Z32,9,17.9,998.1
ME1,Z32,10,24.2,995.2
ME1,Z4,1,12.5,1001.2
ME1,Z4,2,17.6,999.2
ME1,Z4,3,17.8,998.2
ME1,Z4,4,20.6,997.3
ME1,Z4,5,14.3,999.7
ME1,Z4,6,12.4,1001.1
ME1,Z4,7,11.8,1000.7
ME1,Z4,8,8.8,1003.7
ME1,Z4,9,13.8,1000.1
ME1,Z4,10,13.1,1000.2
ME1,Z4,11,23.6,997.3
ME1,Z5,1,16.4,998.2
ME1,Z5,2,16.2,998.6
ME1,Z5,3,22.9,996.4
ME1,Z5,4,21.2,997.3
ME1,Z5,5,15.1,998.7
ME1,Z5,6,18.3,998.3
ME1,Z5,7,14.4,1000.4
ME1,Z5,8,13.1,1000.6
ME1,Z5,9,10,1002.7
ME1,Z5,10,15.1,1000
ME1,Z5,11,17.5,999.5
ME1,Z6,1,13.1,1000.2
ME1,Z6,2,9.4,999.8
ME1,Z6,3,11.7,1001
ME1,Z6,4,10.7,1000.9
ME1,Z6,5,11.9,999.9
ME1,Z6,6,9.7,1001
ME1,Z6,7,11.1,1001.4
ME1,Z6,8,9.6,1000.9
ME1,Z6,9,9.5,1003.4
ME1,Z6,10,12.3,1001.5
ME1,Z7,1,19,996.1
ME1,Z7,2,16.1,1001
ME1,Z7,3,11.6,1004.3
ME1,Z7,4,10,1001.8
ME1,Z7,5,10.1,1002
ME1,Z7,6,16.8,1001.3
ME1,Z7,7,11.7,1003
ME1,Z7,8,12.2,1001.8
ME1,Z7,9,9.8,1001.2
ME1,Z7,10,12.8,1001.8
ME1,Z8,1,11.8,1003
ME1,Z8,2,11.1,1002.4
ME1,Z8,3,9.8,1003.6
ME1,Z8,4,9.1,1003
ME1,Z8,5,9.9,1002.8
ME1,Z8,6,9.8,1002.1
ME1,Z8,7,9.3,1002.2
ME1,Z8,8,10.4,1002.9
ME1,Z8,9,10.6,1001.7
ME1,Z8,10,10.5,1001.4
ME1,Z8,11,23.1,997
ME1,Z9,1,21.8,996.6
ME1,Z9,2,18.3,998.5
ME1,Z9,3,14.3,999.3
ME1,Z9,4,15.8,999
ME1,Z9,5,18.1,998.9
ME1,Z9,6,20.1,997.3
ME1,Z9,7,26.5,996.1
ME1,Z9,8,21.3,996
ME1,Z9,9,23,996
ME1,Z9,10,24.9,995.2
ME1,Z9,11,21.6,995.8
ME1,Z9,12,21.8,996.4
ME1,Z9,1,19.5,997
ME1,Z9,2,22.3,996
ME1,Z9,3,20.9,995.4
ME1,Z9,4,25.2,996.1
ME1,Z9,5,22.8,996
